acc	gene	location	topology	both
Q9JJN1	Fgf21	Secreted		Secreted
Q80UZ0	Fgd5	Ruffle membrane,Cell projection,Cytoplasm,Golgi apparatus,Cytoskeleton,Early endosome,Endoplasmic reticulum		Ruffle membrane,Cell projection,Cytoplasm,Golgi apparatus,Cytoskeleton,Early endosome,Endoplasmic reticulum
Q9ESS2	Fgf22	Secreted		Secreted
Q9ESP5	Fezf2	Nucleus		Nucleus
P52734	Fgd1	Cell projection,Cytoplasm,Cytoskeleton,Lamellipodium,Ruffle		Cell projection,Cytoplasm,Cytoskeleton,Lamellipodium,Ruffle
Q69ZL1	Fgd6	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
P70379	Fgf14	Nucleus		Nucleus
Q8K0X8	Fez1	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Cell membrane		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Cell membrane
O35565	Fgf10	Secreted		Secreted
O35622	Fgf15	Secreted		Secreted
P05524	Fgf3	Nucleus,Golgi apparatus,Endoplasmic reticulum		Nucleus,Golgi apparatus,Endoplasmic reticulum
Q9EPC2	Fgf23	Secreted		Secreted
Q7TMA4	Ffar4	Endosome membrane,Cell projection,Cell membrane,Cilium membrane,Lysosome membrane	Multi-pass membrane protein	Endosome membrane,Multi-pass membrane protein,Cell projection,Cell membrane,Cilium membrane,Lysosome membrane
P70378	Fgf11	Nucleus		Nucleus
Q8BY35	Fgd2	Early endosome membrane,Ruffle membrane,Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Early endosome		Early endosome membrane,Ruffle membrane,Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Early endosome
P36363	Fgf7	Secreted		Secreted
Q9ESL8	Fgf16	Secreted		Secreted
P61148	Fgf1	Cytoplasm,Cell cortex,Cytosol,Secreted,Nucleus		Cytoplasm,Cell cortex,Cytosol,Secreted,Nucleus
P61329	Fgf12	Nucleus		Nucleus
P11403	Fgf4	Secreted		Secreted
O88842	Fgd3	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
O70514	Fgfbp1	Extracellular space,Secreted,Cell membrane	Peripheral membrane protein	Extracellular space,Secreted,Cell membrane,Peripheral membrane protein
Q76JU9	Ffar1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P63075	Fgf17	Secreted		Secreted
P21803	Fgfr2	Cytoplasmic vesicle,Golgi apparatus,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cytoplasmic vesicle,Golgi apparatus,Cell membrane
A2AJL3	Fggy			
P15656	Fgf5	Secreted		Secreted
O89101	Fgf18	Secreted		Secreted
P37237	Fgf8	Secreted		Secreted
Q1HCM0	Fgfbp3	Secreted		Secreted
Q9ESL9	Fgf20	Secreted		Secreted
P21658	Fgf6	Extracellular space,Secreted		Extracellular space,Secreted
