inchi_key	n_annotations	target_genes	annotated_moas
NBHPRWLFLUBAIE-UHFFFAOYSA-N	2	PLD2	Phospholipase D2 (PLD2) Inhibitors,Dopamine Receptor Antagonists
NCRSWJPOFRASIF-HMMYKYKNSA-N	1	ACTB	Actin stabilizer
NDEVFXJRZJJZDG-UHFFFAOYSA-N	1	CCR9	CCR9 chemokine antagonist
NDIKFKQBWGMLCA-DEOSSOPVSA-N	2	PFKFB3	PFKFB3 inhibitor,inhibition of PFKFB3 leads to inhibition of glycolysis
NETXMUIMUZJUTB-UHFFFAOYSA-N	3	BRD4	BRD2/3/4/T BET familiy inhibitor,BRD4 inhibitor,APOA1 Expression Enhancers
NHZMQXZHNVQTQA-UHFFFAOYSA-N	1		
NIVBGOGCJSMNMG-KRWDZBQOSA-N	1	PAK1	PAK1 gene inhibitor
NJVHJRCHDQKEHV-FOKLQQMPSA-N	2	PIR	Anti-inflammatory,IL23/IL12 secretion inhibitor
NMUSYJAQQFHJEW-KVTDHHQDSA-N	12	UHRF1,DTYMK,DNMT1	DNMT1,DNA Methyltransferase (DNMT) Inhibitors,Apoptosis Inducers,Antimetabolites
NRJSHVPDELFHKB-UHFFFAOYSA-N	3	PDE4D,PDE4B,PDE4A	Phosphodiesterase IV Inhibitors
NSDYPYMREQWLNC-UHFFFAOYSA-N	4	TLR7,TLR8	TLR8 Receptor Agonists,TLR7 Receptor Agonists
NSMRMZWAHUBRPG-UHFFFAOYSA-N	1	CDK1	CDK1 Inhibitors
NVOWFSVQTZTXSO-UHFFFAOYSA-N	1	NR4A2	Nurr1 Receptor Activators
NYAKHMNXWJGORW-UHFFFAOYSA-N	1	PRMT3	Allosteric PRMT3 inhibitor
OAVGBZOFDPFGPJ-UHFFFAOYSA-N	30	PRKCA,PRKCD,PRKCE,PRKCQ,PRKCB,CD28	Protein Kinase PKC epsilon Inhibitors,Protein Kinase PKC alpha Inhibitors,Protein Kinase PKC delta Inhibitors,Protein Kinase PKC theta Inhibitors,Protein Kinase PKC beta Inhibitors
OFGZKSUTEKHHAS-UHFFFAOYSA-N	1	SSTR5	Somatostatin SRIF1B (sst5) Antagonists
OGHNVEJMJSYVRP-UHFFFAOYSA-N	1	ADRB1	beta1-Adrenoceptor Antagonists
OGQICQVSFDPSEI-UHFFFAOYSA-N	9	RARG,ODC1,RARB	Retinoid RARbeta Agonists,Ornithine Decarboxylase Inhibitors,Retinoid RARgamma Agonists
OHAXNCGNVGGWSO-UHFFFAOYSA-N	1	CREB1	Cyclic AMP Response Element-Binding Protein (CREB) Inhibitors
OJPLJFIFUQPSJR-INIZCTEOSA-N	2	PSEN1	Drugs Acting on Notch Receptors,gamma-Secretase Inhibitors
OODPPJDFRMJIDK-UHFFFAOYSA-N	1	KDR	VEGFR-2 (FLK-1/KDR) Inhibitors
OONFNUWBHFSNBT-HXUWFJFHSA-N	12	ERBB2,EGFR	VEGFR-2 (FLK-1/KDR) Inhibitors,Inhibitors of Signal Transduction Pathways,HER2 (erbB2) Inhibitors,erbB1) Inhibitors,EGFR (HER1,Angiogenesis Inhibitors
OSFZBGUNRGOXKG-UHFFFAOYSA-N	1	BRD4	BET inhibitor BD1 selective
OVJDNZFLEREPKG-VPMCBBNJSA-N	1	GFM1	Inhibitor of mitochondrial translation
OVPNQJVDAFNBDN-UHFFFAOYSA-N	16	CDK2,CDK1,CCNB1,CCNA2	CDK1/Cyclin B Inhibitors,CDK2/Cyclin A Inhibitors,Inhibitors of Signal Transduction Pathways,Apoptosis Inducers
PBHDCPWPSOSGGD-UHFFFAOYSA-N	2	DDR2,DDR1	DDR tyrosine kinase receptor inhibitor
PFDUBQQHEHJNQX-UHFFFAOYSA-N	2	CCND2,CCND3	CDK Inhibitors
PGGINYVNLNKQRD-UHFFFAOYSA-N	1	USP14	Known USP14 inhibitor
PHEDXBVPIONUQT-RGYGYFBISA-N	1	PRKCA	Protein kinase C alpha stimulator
PHVGLTMQBUFIQQ-UHFFFAOYSA-N	1	KCNJ10	K(ir) 4.1 Blockers
