inchi_key	conc	cells	nuclei	prp	gfp
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.063018115	GFP	825	-1.763124941	-0.343090879
	NA	GFP	733	-0.164074863	-0.130100274
	NA	GFP	1039	2.298816515	-12.37655571
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.063018115	GFP	990	-1.455782185	-8.89e-5
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.063018115	GFP	942	0.595725266	1.140840029
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.063018115	GFP	863	1.807849932	1.328577822
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.063018115	GFP	739	-0.431458177	-0.70532136
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.063018115	GFP	818	0.640568618	-0.586641097
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.063018115	GFP	907	-0.582055414	0.230998495
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.063018115	GFP	866	1.087951963	1.39199922
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.063018115	GFP	830	-0.929166403	-2.079693814
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.063018115	GFP	726	1.565644171	0.613186828
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.063018115	GFP	824	0.555025192	1.683972017
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.063018115	GFP	658	-2.480561338	-1.173688119
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.063018115	GFP	744	-1.437906031	-0.971582695
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.063018115	GFP	805	-0.575273218	-0.86002057
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.063018115	GFP	875	-3.296754637	-1.485181858
	NA	GFP	761	-1.472075863	-0.491243898
	NA	GFP	1104	2.565367971	-12.5490951
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.019913724	GFP	953	-1.389729864	-0.006075313
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.019913724	GFP	933	0.584959293	0.530091285
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.019913724	GFP	963	0.634119998	0.83973396
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.019913724	GFP	799	-0.443442593	-0.189485193
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.019913724	GFP	833	-1.936409507	-0.367209375
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.019913724	GFP	850	-1.251014561	-1.194779904
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.019913724	GFP	949	0.298465847	-0.109852967
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.019913724	GFP	781	0.889371926	-0.499064127
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.019913724	GFP	727	-0.275527482	0.09440835
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.019913724	GFP	843	-0.254058705	-0.045850989
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.019913724	GFP	790	0.640975638	2.417992086
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.019913724	GFP	811	-0.850515289	-0.979897207
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.019913724	GFP	628	-0.777106776	-0.914790323
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.019913724	GFP	884	-1.215534212	1.199438487
	NA	GFP	759	-2.320942722	-1.358575173
	NA	GFP	1074	1.943414573	-12.5490951
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.019913724	GFP	922	-1.069741957	-0.249235591
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.019913724	GFP	879	0.316208318	1.628795844
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.019913724	GFP	843	-0.945821433	-1.467686857
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.019913724	GFP	880	2.066022058	1.227765294
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.019913724	GFP	866	1.118900605	0.763780637
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.019913724	GFP	837	-2.061230848	-2.476389231
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.019913724	GFP	794	-0.76000231	-2.053516494
