Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Membrane_Intensity_MedianIntensity_CorrPrP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,total.count_value
VH97007019,,35979,18,12,SA,KLSRELDSEJWOAS-UHFFFAOYSA-N,SOL1238471E,AEOS01138800,20.0 ,uM ,-6.164772857324809,-13.791761020305259,3.943349098669641,10.599536098078543,-0.3168652631700671,1.688309417114726,6.729918983588299,14.349027727678001,-0.8488464105859769,-5.512893759679166,-2.0662156645410796,-2.200598874806365,0.32169097376391204,-2.5943166129548203,7.783672950020431,7.555336563214086,-1.3712876042387572,-1.0141336340486777,472.0
VH97007019,,35979,18,15,SA,JFUAWXPBHXKZGA-IBGZPJMESA-N,SOL124D4EED,AEOS01138800,20.0 ,uM ,-8.541296241725952,-24.175921595124002,16.41687088228532,31.663755873733635,-3.7816326040760826,-5.091812076576842,2.812842871791323,7.0086942875961045,-1.5049754381573208,-8.45006594420252,-1.2409254850759974,-3.042234815369934,-0.6021030107649897,-0.46778111962962315,1.3884542988527595,5.255674368455056,-0.19988204945726634,-0.2569385417715133,474.0
VH97007019,,35979,18,18,SA,NRJSHVPDELFHKB-UHFFFAOYSA-N,SOL1244434A,AEOS01138800,20.0 ,uM ,-5.7733651237713115,-10.130108323257152,1.9881917849662498,6.130867624098773,0.38215858357930416,4.579528005666133,5.729745374230797,11.884663664253447,-0.5340665404473194,-4.489856178086098,-0.7922943261179691,-0.5362187591795524,0.06280156630661529,-0.5928359357881836,1.631893337506017,0.9020909733550675,-3.794272305268036,-2.4445417573941826,513.0
VH97007019,,35979,18,21,SA,OCBMECSFDVUYQN-ROUUACIJSA-N,SOL12080672,AEOS01138800,20.0 ,uM ,1.0568266784511042,0.07767609243024261,0.21962030089427395,-0.4520089221592977,1.0453191188723343,0.7326098612020105,-0.02225136836195201,-0.45368848063832,-0.521276226492901,-1.6052992226827651,0.3677460740991053,0.0972580557093351,-0.35265200105130523,-1.0200676300792122,0.37825439054517274,0.5775240730536951,-2.452977328546602,-1.1215930393320228,931.0
VH97007019,,35979,18,24,SA,WJUNQSYQHHIVFX-UHFFFAOYSA-N,SOL124A379E,AEOS01138800,20.0 ,uM ,-9.506549413891152,-16.213601872038026,-0.3659413372926616,13.450642352853762,-3.081065827318452,5.473212428419315,0.8448071142454511,13.30349769603903,-1.4111816561557669,6.085792605300483,-12.676127580293084,5.257350964879393,-1.6252833616053544,-0.9232346881705596,-4.714771409312802,-3.358898165404237,0.10661901688588793,0.8352295298445402,223.0
VH97007019,,35979,18,27,SA,RQVLGMREYUFLPQ-UHFFFAOYSA-N,SOL123FBFB6,AEOS01138800,20.0 ,uM ,-9.873024041068891,-17.829254343331737,0.9044524308042865,18.06717707287437,-4.547807575953663,-1.9139667791035369,1.9351295157867001,16.08404002769152,-4.044043899203171,-3.8501501703025856,-13.79522009389058,-2.4067596028694846,-1.7240281709467717,-0.20381715592029495,-3.3363335761625703,11.78936773752706,-0.12374572841859224,2.3649182736114627,240.0
VH97007019,,35979,18,30,SA,BZZYIHQWCXHSMZ-FMSKOOSDSA-N,SOL1238787C,AEOS01138800,20.0 ,uM ,-3.2676598587435333,-0.9831170508088679,-3.6600750551016197,-2.1184082147139573,1.938606160053039,5.542421471838001,0.2910305857349987,1.2925169830609289,-0.11948212778158646,-0.18538552557409632,-0.556978491561306,-0.5172806253308577,0.8118132508690041,1.3142661661290422,-1.187780110040006,-1.4247262315700506,-2.1188215672561252,-1.363327167892284,669.0
VH97007019,,35979,18,33,SA,VOASEWXFCTZRDF-UHFFFAOYSA-N,SOL1242E355,AEOS01138800,20.0 ,uM ,-9.950305383964354,-15.334688120013228,-0.6099395394485903,15.506824969044027,-3.833296423528771,0.041711834101147066,1.2340165035568365,11.992671501129278,-0.8238097222953121,7.307798137048554,-13.817574535614066,7.159763296584994,-1.322634592481237,-2.9650221914655295,-2.197938714098356,0.1743853251254316,-1.1342983808982157,-0.6520810862842945,245.0
VH97007019,,35979,18,36,SA,KXSNSVDPSDYDHW-HXUWFJFHSA-N,SOL121F59AE,AEOS01138800,20.0 ,uM ,-2.0427924647759172,-0.009861004994719196,-2.23527906733825,-0.4751436396184074,0.07518790821610788,1.6741477565784293,-1.021250253066117,-0.7633654512449339,2.236303359787632,4.700566327123378,-6.904231086059745,3.011215754326427,-0.12382257360466424,1.4363633918700482,0.5485690808917357,-3.0898922053419575,-0.45844177438091493,-1.5909468057912737,755.0
VH97007019,,35979,18,39,SA,CLGRAWDGLMENOD-UHFFFAOYSA-N,SOL124D11F9,AEOS01138800,20.0 ,uM ,-4.963060304317325,-3.7999830951284417,1.940979936140123,6.9371107333843725,-3.394278861063043,-2.8835063553424116,-1.2036401689000107,-0.4901296350446396,1.0979498672909258,-4.766622813103374,2.351383639162061,-1.6784482788409927,1.7397804005193662,0.48629734649564266,-2.4355832684018934,-1.4209483915469427,3.0013172390701293,2.3883317305560903,596.0
